query,result_count
3P,100000000
3Q,100000000
502膠,10800000
88,100000000
A,100000000
AA制,41900000
AB制,491000
ACG,100000000
A菜,498000
A貨,107000
B,100000000
BP機,3540
B型超聲,1460000
B格,15400000
B站,100000000
B超,100000000
CP,100000000
CP值,100000000
C位,100000000
C盤,275000
C羅,428000
DNA鑒定,19700000
E仔,277000
G友,2060000
G弦褲,42000
G點,460000
H橋,10900
IP,100000000
IP劇,13600000
JK製服,10300000
K人,88400000
K仔,5080000
K他命,15100000
K書,40400000
MC,100000000
MV,100000000
M巾,48500000
NG片段,23600000
NG鏡頭,1320000
N擋,14900000
OK鏡,5440
OS,100000000
P,100000000
PA部,20200000
PO,100000000
PO文,1410000
P擋,17000000
P民,8650000
Q勁,3180000
T型台,2780000
T字褲,1620000
T裇,34100000
U型枕,18800000
U盾,37600000
VCR,56200000
XO醬,2160000
word,100000000
word姐,13300000
々,100000000
〧,1200000
ㄅㄧㄤˋ,1050000
㍼,172000
㍾,151000
㐆,191000
㐜,151000
㓂,240000
㕘,251000
㕥,225000
㗂,82700
㗎,1050000
㚻,1410000
㛂,154000
㝇,162000
㝛,114000
㞙,145000
㠀,211000
㠯,1900000
㠶,291000
㡌,1540000
㢠,173000
㢲,228000
㢴,158000
㣟,165000
㤅,597000
㤙,363000
㥁,514000
㧱,221000
㨃,762000
㨗,180000
㨪,190000
㨿,200000
㩐,190000
㩗,211000
㩜,185000
㩦,219000
㪃,142000
㪋,173000
㪚,390000
㪟,163000
㫺,213000
㬉,239000
㬎,412000
㮎,124000
㮚,247000
㮸,160000
㯭,74800
㯳,209000
㱃,262000
㱾,89700
㲈,86300
㲋,266000
㧯,171000
㲱,158000
㲾,174000
㳂,235000
㳄,367000
㳒,198000
㳮,113000
㴱,266000
㵮,69900
㹢,132000
㹴,354000
2019冠狀病毒病,21400000
3C,100000000
3P,100000000
3Q,100000000
502膠,10800000
88,100000000
996,100000000
A,100000000
AA制,41900000
AB制,491000
ACG,100000000
A咖,4450000
A圈兒,1310000
A片,100000000
A菜,498000
A貨,107000
B,100000000
BP機,3540
B型超聲,1460000
B格,15400000
B站,100000000
B超,100000000
CP,100000000
CP值,100000000
C位,100000000
C盤,275000
C羅,428000
DNA鑒定,19700000
E仔,276000
G友,2060000
G弦褲,42000
G點,460000
H橋,10900
IP,100000000
IP劇,13600000
K房,3450000
K金,51500000
NG,100000000
N久,46700000
N擋,14900000
OK鏡,9860
PA,100000000
PA部,19300000
PK,100000000
PO文,1410000
P圖,100000000
QR扣,19500000
T,100000000
TA,100000000
TF卡,63500000
Tony,100000000
Tony老師,1250000
T型台,5300000
USB手指,15600000
U型枕,18800000
U形轉彎,106000
U盤,1000000
XO醬,2160000
word姐,25400000
々,100000000
〇,100000000
〦,1200000
㍻,205000
㍼,172000
㍽,191000
㐌,253000
㐤,146000
㐺,107000
㒳,2380000
㗂,155000
㚻,1410000
㛂,154000
㝇,155000
㝡,224000
㝵,304000
㞎,530000
㞎㞎,212000
㞗,235000
㞙,145000
㞞,336000
㠀,211000
㠯,1900000
㠶,291000
㢴,158000
㣟,165000
㥁,510000
㥏,87600
㥦,184000
㥯,182000
㧯,171000
㧱,221000
㨃,762000
㨪,190000
㩐,190000
㩗,211000
㩦,219000
㪚,390000
㬎,412000
㮎,124000
㯭,135000
㯳,209000
㪟,149000
%,100000000
2019冠狀病毒病,21400000
21三體綜合症,1310000
3C,100000000
3P,100000000
3Q,100000000
502膠,10800000
88,100000000
996,100000000
A,100000000
AA制,41900000
AB制,491000
ACG,100000000
A咖,4450000
A圈兒,1310000
A片,100000000
A菜,498000
A貨,107000
B,100000000
BP機,3540
B型超聲,1460000
B格,15400000
B站,100000000
B超,100000000
CP,100000000
CP值,100000000
C位,100000000
C盤,275000
C羅,428000
DNA鑒定,19700000
E仔,276000
G友,2060000
G弦褲,42000
G點,460000
H橋,10900
IP,100000000
IP劇,13600000
JK製服,10300000
K人,88400000
K仔,5080000
K房,3450000
K書,40400000
K金,51500000
L照,59100000
MC,100000000
M巾,48500000
NG,100000000
NG鏡頭,1320000
N久,46700000
N擋,14900000
OK鏡,9880
PO,100000000
P圖,100000000
P民,8650000
TF卡,63500000
Tony老師,1250000
T台,100000000
T型台,5300000
T恤,100000000
USB記憶棒,267000
U盤,1000000
U盾,36900000
V溝,11600000
X光,100000000
USB手指,15600000
word,100000000
π日,7290000
⺮,528000
word姐,25400000
〥,2280000
〩,1270000
ㄅㄧㄤˋ,1050000
㍻,202000
㍾,151000
㐅,4750000
㐆,191000
㐜,151000
㐡,157000
㑺,243000
㒸,208000
㕯,362000
㚻,1410000
㚻姦,6810
㛂,154000
㝄,154000
㝇,155000
㝛,216000
㝡,224000
㞎,732000
㞙,145000
㠯,1900000
㢠,173000
㣟,165000
㤙,363000
㥏,151000
㥦,184000
㧱,221000
㨃,762000
㨿,197000
㩐,190000
㩦,219000
㮸,160000
㯭,135000
㱃,262000
㲈,86300
㲾,174000
㳂,235000
㳒,198000
㳮,113000
㵮,134000
㷭,312000
㹴,352000
㹴犬,76000
㺵,93600
㼝,162000
㿜,678000
㿝,143000
䂖,240000
䂲,99000
䂶,166000
䇲,282000
䊀,174000
䖟,242000
䗥,151000
䛟,171000
䟆,193000
䠶,285000
䤈,131000
䬠,171000
䬪,161000
䯝,166000
䰟,519000
䰾魚,12100
䳗,156000
䴉,94000
䶑,135000
一下子,100000000
一介不取,1440000
一代,100000000
一來二去,49100000
一個天南，一個地北,100000000
一個幽靈在歐洲遊蕩,21600
一個頭兩個大,2500000
一倡三歎,32500
一元,100000000
一元化,13800000
一元論,48000
一元醇,14300000
一共,100000000
一再,100000000
一准,100000000
一刀切,100000000
一分熟,44700000
一分耕耘，一分收穫,2890000
一切就緒,1000000
一切險,9140000
一刻千金,4260000
一則,100000000
一動不動,85900000
一匙,24000000
一去不回,23300000
一去不復返,18000000
一口吃不成胖子,2610000
一口吃個胖子,21600000
一句話,100000000
一向,100000000
一命嗚呼,436000
一品鍋,27700
一唱一和,27100000
一回事,100000000
一回生二回熟,2420000
一回生兩回熟,2420000
一團和氣,6620000
一塌糊塗,6040000
一壁廂,21600
一夔已足,480000
一夕數驚,1210000
一夜情,60000000
一夜露水,16200000
一天到晚,100000000
一夫一妻,41500000
一如,100000000
一如所料,3840000
一孔之見,7760000
一字一淚,2400000
一字不差,17400000
一字不提,28200000
一字不漏,19100000
一字不落,37500000
一字千金,20500000
一字褒貶,69100
一學就會,5310000
一家之主,47000000
一審,594000
一對兒,16200000
一小部分,100000000
一年之計在於春,1240000
一年多,100000000
一年生,100000000
一廂情願,2370000
一式二份,100000000
一彈指頃,54200
一往情深,69800000
一往無前,27900000
一往直前,9310000
一心多用,5940000
一意孤行,100000000
一應俱全,4610000
一成不變,2660000
一手交錢，一手交貨,113000
一手遮天,35200000
一打,100000000
一把眼淚一把鼻涕,3320000
一抿子,53400
一拍兩散,413000
一擊入洞,240000
一擲千金,1190000
一文不值,100000000
一文不名,8080000
一旁,97900000
一日三秋,6930000
一日不如一日,100000000
一日千里,36100000
一日為師，終身為父,315000
一是一，二是二,234000
一時,100000000
一時半刻,70500
一時半晌,28900
一時半會,38000000
一時半會兒,30400000
一會,8470000
一會兒,26400000
一月,100000000
一朝天子一朝臣,7370000
一杯羹,100000000
一枝獨秀,4020000
一根筋,55000000
一條龍,58600000
一棍子打死,24100000
一模一樣,24400000
一次,100000000
一次函數,11700000
一次又一次,100000000
一次方程,71600000
一次方程式,47000000
一次總付,598000
一氣呵成,4150000
一氧化二氮,5990000
一決雌雄,945000
一波未平，一波又起,24700000
一派胡言,19200000
一流,100000000
一清二楚,31300000
一準,100000000
一溜煙,97800
一潭死水,28900000
一炮而紅,5400000
一無所知,39500000
一琴一鶴,2020000
一生一世,100000000
一畝三分地,3480000
一瘸一拐,33100000
一發不可收拾,5410000
一目十行,24500000
一直,100000000
一直往前,35700000
一相情願,211000
一眨眼,100000000
一眼,100000000
一眼看穿,14300000
一瞬間,34400000
一矢中的,17700000
一石二鳥,4160000
一神論,53300
一秉虔誠,46000
一秘,4950000
一窮二白,1710000
一笑了之,65900000
一筆不苟,5240000
一筆勾銷,541000
一筆抹殺,36500
一等,100000000
一箭雙鵰,1210000
一系列,100000000
一級士官,2250000
一級棒,1890000
一絲不掛,3430000
一絲不苟,6260000
一維,405000
一線之間,220000
一而再，再而三,29000000
一股子,43400000
一股腦,341000
一股腦兒,245000
一胎制,30800000
一脈相承,2000000
一臉茫然,3330000
一致,100000000
一致性,100000000
一舉成功,8610000
一般原則,33800000
一落千丈,98000000
一行,100000000
一見如故,3030000
一見高低,13300000
一覺醒來,10100000
一覽無餘,1680000
一覽眾山小,1520000
一角銀幣,957000
一觸即發,13400000
一言不合,38000000
一言不發,10300000
一言九鼎,31800000
一言千金,27800000
一語破的,12700000
一貫,4200000
一路風塵,217000
一蹴而得,3250000
一蹶不振,100000000
一身兩役,9250000
一輩子,66000000
一辭莫贊,1490
一退六二五,100000000
一連,67400000
一遍,100000000
一過性,100000000
一道,100000000
一部二十四史，不知從何說起,69100
一部分,100000000
一醉方休,16700000
一錘定音,2520000
一錢如命,14800000
一鍋端,34500
一鍋粥,72200
一門式,15400000
一閃而過,2090000
一陣子,2800000
一雨成秋,352000
一霎眼,1980000
一面之交,5350000
一頭霧水,2690000
一類保護動物,190000
一顰一笑,1480000
一馬平川,2030000
一體,39200000
一鱗半爪,168000
一點一滴,25500000
一點一點,100000000
一點兒,40500000
一點就通,27800000
一點水一個泡,100000000
一點鄰域,248000
一點點,100000000
一黨,77700000
丁,100000000
丁丁,100000000
丁丁炒麵,102000
丁二醇,25800000
丁克,40700000
丁加奴,1070000
丁卯,100000000
丁型肝炎,8560000
丁字,100000000
丁字步,2810000
丁字鎬,3210
丁客,221000
丁寵家庭,69
丁巳復辟,33800
丁未,72300000
丁糖,31500000
丁酉,92900000
丁醇,70000000
丁香,100000000
丁鱥,256000
丁點,118000
七,100000000
七十年代,74400000
七和弦,6800000
七嘴八張,3770000
七堵區,66800
七夕節,37500000
七大工業國集團,102000
七巧板,38400000
七年之癢,3370000
七彩,100000000
七情,92400000
七扭八歪,23500000
七政四餘,441000
七旬老人,24700000
七星,100000000
七星區,45100
七星瓢蟲,2140000
七曜,14400000
七月,100000000
七月份,46000000
七河州,1890000
七碳糖,13100000
七竅,238000
七竅生煙,232000
七老八十,12100000
七聲音階,513000
七股,100000000
七葉樹,62700
七葷八素,173000
七里河區,56600
七零八碎,4950000
七零八落,38200000
七項全能,908000
七龍珠,25600000
丄,23000000
万,100000000
万俟,21900000
丈二金剛摸不著頭腦,94600
丈人,100000000
丈八蛇矛,8020000
丈夫,100000000
丈母娘,100000000
三K黨,15200
三七,100000000
三七二十一,55800000
三七開定論,43700
三三兩兩,100000000
三下兩下,100000000
三不五時,66100000
三不沾,6940000
三不管,11100000
三中全會,13200000
三五成群,71400000
三井,93900000
三人行,100000000
三代同堂,22700000
三令五申,34400000
三件套式西裝,4760000
三伏,100000000
三位一體,11800000
三個世界,100000000
三個代表,100000000
三個和尚沒水吃,387000
三個和尚沒水喝,8980000
三個女人一個墟,90600
三個臭皮匠，勝過一個諸葛亮,1020000
三個臭皮匠，賽過一個諸葛亮,798000
三催四請,58700000
三元運算,3370000
三元醇,2290000
三元音,12400000
三光,47900000
三光政策,4520000
三八大蓋,3890000
三八節,8560000
三分頭,18400000
三北防護林,895000
三十二位元,10100000
三十六字母,5980000
三原則,36500000
